@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,32-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute Si numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Hbugs numeric

@data
4,6,32,0,6,325,0.883432,0.061224,1,1873.017085,137.00005,152.505738,117.889779,97.00007,1870.516774,1868.060224,1870.621554,68.658576,119.540788,359.289434,183.076487,1868.204322,1876.949919,326.212504,1869.201166,326.120387,1319857.04,3489578,4643,2
27,11,83,2,9,658,0.582621,0.44898,4,1540.837759,134.00065,141.039002,101.98039,92.000947,1537.754532,1535.046905,1538.061767,45.607017,106.51291,665.194446,141.484982,1536.559971,1541.50673,661.684318,1535.630489,662.146677,2453107.089,2356328,2039,2
8,12,65,0,12,583,0.671344,0.102041,2,1615.733889,136.000397,149.883288,110.679718,91.000593,1612.569688,1610.025155,1613.040917,63.63961,117.345643,594.633645,156.339374,1610.917666,1617.572873,585.604504,1611.232137,585.4467,2217214.077,2592221,4090,2
24,27,80,20,8,693,0.605948,2.804662,40,1503.197924,98.000792,108.687626,89.358827,76.001022,1501.924099,1500.056332,1502.078893,48.764741,91.923882,701.212715,132.200605,1502.052959,1505.814398,697.47643,1500.736153,697.842761,2559329.095,2250106,2315,2
17,10,55,5,6,461,0.507832,5.607636,3,1737.253292,135.000897,145.39945,107.54069,93.001302,1734.495027,1732.064953,1734.548933,56.044625,108.406642,478.948061,161.235852,1732.706349,1739.488718,463.68212,1732.841597,463.952418,1809480.059,2999955,3047,2
31,6,65,4,2,747,0.074264,0.545737,4,1452.195579,134.003198,139.842769,104.923782,97.004417,1449.249806,1446.124822,1449.117318,44.28318,103.077641,755.863954,153.837577,1447.11783,1454.160239,749.137333,1446.553145,749.755715,2718398.103,2091037,1721,2
16,3,40,1,2,604,0.288142,0.496986,2,1594.809393,136.001863,146.700375,114.127122,100.002534,1592.143524,1589.113589,1592.019158,58.189346,112.378824,620.631541,175.840837,1589.382451,1598.699784,604.992412,1589.951572,605.202573,2284368.08,2525067,3171,2
42,19,74,7,13,550,0.435521,0.466897,5,1648.374351,133.001198,136.124943,88.865066,84.001897,1645.14589,1643.019476,1645.57376,30.083218,96.462428,560.954365,144.941368,1644.315657,1649.380793,553.998342,1643.255914,554.804663,2109874.073,2699561,953,3
71,103,186,99,7,2193,0.248779,4.022438,90,48,48.005878,48,0,0.751221,0,14,0,14,0,2195.233473,0,210.705956,0,2189.263845,0,2204.242954,4809435.506,0,0,3
10,17,81,4,13,743,0.350155,0.255102,5,1456.086879,133.001588,146.321564,105.437185,86.002455,1452.548106,1450.022069,1453.108736,61.522354,112.898184,749.515927,141.598023,1451.64593,1456.897388,746.285152,1451.282536,746.074089,2706830.103,2102605,3826,3
21,25,77,10,16,566,0.628597,1.155974,18,1631.419321,120.000575,130,92.649879,78.000884,1628.868626,1627.007683,1629.432417,50.249378,102.083299,576.204682,140.719579,1628.504557,1633.074095,570.402684,1627.768104,570.68858,2162197.075,2647238,2609,3
8,7,34,0,7,626,0.410417,0.040816,2,1572.890651,136.001278,149.883288,114.825955,96.00181,1569.937897,1567.062539,1570.124199,64.536811,117.345643,643.323872,181.397354,1567.274065,1577.464421,626.723687,1568.265921,626.568966,2353794.083,2455641,4121,3
8,6,46,0,6,394,0.829849,0.040816,3,1804.058203,135.000107,148.976508,115.663304,97.000149,1801.613166,1799.062534,1801.721954,64.761099,117.345643,417.673695,171.467198,1799.427876,1807.15301,395.986912,1800.102775,395.995123,1572894.05,3236541,4109,3
19,8,69,2,8,632,0.550566,0.204488,3,1566.826729,135.000748,144.668587,108.300508,95.001063,1563.888103,1561.054131,1564.01087,53.600373,110.059075,641.974279,151.980262,1562.104256,1568.381012,634.768758,1561.865871,635.004496,2372597.085,2436838,2821,3
8,7,32,3,4,300,0.825226,0.040803,4,1897.73681,134.000114,148.070929,114.825955,96.000159,1895.432668,1893.076332,1895.432668,65.253352,114.825955,337.040832,181.471761,1893.225723,1901.678469,301.44513,1894.048046,301.521547,1225832.037,3583603,4123,3
4,8,42,0,8,242,0.886506,0.020408,2,1955.734389,136.000047,151.608047,116.249731,95.000068,1953.311547,1951.043311,1953.510174,68.249542,119.540788,281.364804,174.748391,1951.331327,1958.810353,244.713406,1952.150097,244.655746,1002890.03,3806545,4633,3
19,23,46,22,3,448,0.622866,12.786557,35,1748.037185,103.00069,115.381974,95.414884,80.000889,1746.832848,1745.092834,1746.698028,55.027266,92.913939,469.876628,159.777971,1745.743011,1752.299632,450.893079,1745.774613,451.257448,1764270.058,3045165,2844,3
10,9,49,0,9,382,0.732278,0.040816,0,1816.250258,138.00026,150.880748,112.058021,94.000381,1813.437895,1811.039757,1813.703945,62.169124,116.284135,405.381031,169.026625,1811.479552,1818.870804,384.327481,1812.027042,384.388328,1529577.048,3279858,3858,3
23,22,51,20,2,1407,0.218063,2.479599,24,794.22415,114.002682,123.693169,94.154129,81.003774,790.162641,786.22961,789.960126,51.623638,92.439169,1411.742958,156.416112,787.872697,801.412503,1407.918042,787.464285,1407.731999,4191504.236,617931,2439,4
8,6,55,0,6,643,0.979275,0.081845,2,1555.955012,136.000002,149.883288,115.663304,97.000002,1553.032195,1550.072579,1553.158395,64.761099,117.345643,655.30253,164.201096,1550.697489,1558.673154,644.707427,1551.279794,644.549119,2406804.086,2402631,4100,4
11,8,17,6,2,93,0.87244,0.241052,7,2104.081985,131.000062,144.086779,112.361025,95.000086,2102.147711,2100.085951,2102.058277,62.936476,110.675201,192.983463,192.898937,2100.075496,2108.840914,94.703773,2100.856968,94.976314,399266.0113,4410169,3769,4
17,9,64,7,2,713,0.770333,0.331623,11,1485.438992,127.000208,138.003623,108.406642,94.000281,1482.982131,1480.121954,1482.856702,57.245087,106.677083,722.747994,152.800524,1481.13235,1487.86693,715.326156,1480.984807,715.511187,2618913.098,2190522,3038,4
11,14,42,2,12,395,0.778838,0.056095,4,1802.986411,134.000182,146.819617,107.335921,89.000275,1800.201378,1798.022525,1800.614617,60.671245,114.057003,420.071471,173.623155,1798.382366,1806.363474,396.814536,1799.000834,396.884413,1576487.05,3232948,3744,4
6,6,33,1,5,164,0.748721,0.020408,3,2033.486169,135.000234,149.833241,116.764721,97.000325,2031.317307,2029.063084,2031.365304,66.940272,117.596769,224.191384,181.694799,2029.207394,2037.119044,166.58312,2030.040886,166.652731,692441.02,4116994,4378,4
5,8,45,0,8,261,0.654056,0.020408,3,1936.710872,135.000443,150.269757,115.676272,95.00063,1934.334252,1932.043737,1934.534828,67.26812,118.983192,296.386207,172.284648,1932.382001,1939.666466,263.869009,1933.127,263.834609,1076670.032,3732765,4497,5
65,21,155,6,21,1504,0.219373,0.102041,3,702.101132,135.002257,135.133268,82.219219,82.003716,693.862378,689,695.248157,6,93.193347,1500.305618,98.030607,698.152372,695.938934,1508.315015,689.026124,1509.334528,4334683.261,474752,67,5
22,16,72,1,16,675,0.238567,0.112245,3,1523.991142,135.002147,143.617548,99.849887,87.003332,1520.491039,1518.008234,1521.160084,49.254441,109.567331,683.645328,150.332964,1519.200085,1525.425842,677.78649,1518.790637,678.051523,2504997.091,2304438,2515,5
23,10,96,1,10,1034,0.582992,0.30071,4,1166.720618,134.000649,142.337627,104.656581,93.000935,1162.725247,1159.052199,1163.135848,49.244289,109.123783,1036.014241,133.056379,1161.598234,1166.612618,1036.959709,1159.993534,1037.066566,3466064.155,1343371,2394,5
13,7,55,1,7,590,0.358785,0.122449,3,1608.67461,135.001523,146.931957,112.160599,96.002141,1605.872037,1603.061134,1605.992839,59.665736,113.877127,603.626974,163.600122,1603.691978,1611.326782,591.916773,1604.048939,591.977268,2239695.078,2569740,3495,6
17,19,73,13,7,502,0.490039,0.22449,8,1695.989682,130.001,140.769315,99.859902,84.001548,1693.085054,1691.057953,1693.185459,55.785303,101.548018,514.607819,142.003521,1692.395056,1696.951973,506.721609,1691.861992,506.963806,1949841.066,2859594,3029,7
22,15,104,2,13,1180,0.373106,0.895766,5,1021.693692,133.001477,141.739197,100.722391,88.002233,1016.815126,1013.031589,1017.633529,49.648766,108.673824,1180.45145,127.015747,1016.451204,1020.931927,1183.032879,1014.184401,1182.92882,3783184.184,1026251,2483,7
