"Class Name","Tested","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.taskdefs.Patch","0","0","0","0","0","0","0","0","9","9","29","0","9","168","0.696721981126058","3","1881.820395255615","192.0002395247379","203.6860329035842","144.0590156845451","127.0003621158488","1876.303013907935","1872.096418457126","1876.861475975252","70.60453243241541","151.1588568361113","0",""
"org.apache.tools.ant.taskdefs.PathConvert","0","0","0","0","0","0","0","0","14","8","41","1","8","385","0.767175648728442","4","1665.984993930017","191.0001419035561","201.1218536111877","142.6639407839276","128.0002117466161","1659.942468882582","1655.120841509767","1660.415911752233","66.09841147864296","148.0709289496085","0",""
"org.apache.tools.ant.taskdefs.Property","1","0","0","0","0","0","0","0","26","12","74","2","10","643","0.408195257833583","5","1409.861340699858","190.0009216631668","196.7256973554802","134.0783353118616","124.0014122212036","1402.492424221964","1397.115957964835","1403.316785333946","54.08326913195984","142.4429710445552","0","28"
"org.apache.tools.ant.taskdefs.PumpStreamHandler","0","1","0","0","0","1","0","0","13","8","20","6","2","111","0.83598527193226","8","1938.042827184167","187.0000719273418","197.6486782146544","143.1083505599865","128.0001050813281","1933.242095548305","1929.175212364082","1933.30856305971","69.07966415668217","144.003472180361","3",""
"org.apache.tools.ant.taskdefs.Recorder","0","0","0","0","0","0","0","0","8","9","32","0","9","201","0.850771161066297","4","1848.892100691655","191.0000582964476","203.0812645223581","144.5337330867781","127.000087674168","1843.380047629897","1839.09814854999","1843.94848084213","71.56814934033156","151.6113452219193","0",""
"org.apache.tools.ant.taskdefs.RecorderEntry","0","0","0","0","0","0","0","0","17","5","39","1","4","359","0.548811340013637","2","1692.043143657986","193.0005273858258","202.1113554454573","144.0867794074113","131.0007769870351","1686.096675757354","1681.171317861449","1686.332410884639","64.62197768561404","146.8196172178636","0",""
"org.apache.tools.ant.taskdefs.Rename","1","0","0","0","0","0","0","0","5","4","17","0","4","101","0.922100375186644","3","1948.482743059327","192.0000158029982","205.0560898876207","150.3595690337","132.0000229861781","1943.487844057688","1939.148524481815","1943.693905943011","75.8946638440411","153","0","20"
"org.apache.tools.ant.taskdefs.Replace","1","0","0","0","0","0","0","0","20","7","71","2","7","677","0.497681564229005","4","1376.317550567455","191.0006605323943","199.3238570768688","141.0319112825179","129.0009779955599","1369.09093927321","1363.161765895743","1369.473621505723","60.74537019394976","144.6996890114143","0","32"
"org.apache.tools.ant.taskdefs.Rmic","0","0","0","0","0","0","0","0","44","19","91","6","14","724","0.285714589530909","6","1329.502538545903","189.0013497402799","191.8593234638338","121.5647975361289","117.0021803371527","1321.190750800201","1316.074465978274","1322.307452901934","35.84689665786984","133.1540461270329","0",""
"org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter","0","0","0","0","0","0","0","0","17","15","66","4","12","630","0.136030323013678","5","1422.743827960606","190.0019643151164","199.2485884517127","135.0592462588178","121.0030844383843","1415.182320409635","1410.090777219679","1416.072385155505","62.0966987850401","144.0867794074113","0",""
"org.apache.tools.ant.taskdefs.rmic.KaffeRmic","0","0","0","0","0","0","0","0","3","7","19","1","6","96","0.470710904605037","0","1953.755614195388","195.0007183241808","208.568933448872","148.7178536692888","129.001085836308","1948.275391211417","1944.124481611196","1948.61283994538","77.20103626247513","153.0751449452196","0",""
"org.apache.tools.ant.taskdefs.rmic.RmicAdapter","0","0","0","0","0","0","0","0","4","6","4","3","4","4","1","1","2045.221748368621","194","207.2800038595137","149.093930124603","130","2040.146073201623","2036.141448917535","2040.274491336889","76.84399781375251","150.8409758653132","0",""
"org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory","0","0","0","0","0","0","0","0","3","7","15","1","6","112","0.966970781845175","2","1937.635930715572","193.0000028262416","206.7002660859439","148.7178536692888","129.0000042284079","1932.31079280741","1928.125514586641","1932.651029027227","77.20103626247513","153.0751449452196","0",""
"org.apache.tools.ant.taskdefs.rmic.SunRmic","0","0","0","0","0","0","0","0","3","8","22","1","7","152","0.460955502827741","0","1898.043466309452","195.0007450472175","208.568933448872","147.8512766262098","128.0011350300064","1892.334008572482","1888.116786642182","1892.74932307477","76.92203845452875","153.0751449452196","0",""
"org.apache.tools.ant.taskdefs.rmic.WLRmic","0","0","0","0","0","0","0","0","5","7","18","1","6","95","0.460955502827741","0","1954.750623481164","195.0007450472175","207.8677464158401","147.7328670269416","129.0011262314013","1949.273197886843","1945.124417614462","1949.610473915238","75.28612089887484","152.1183749584513","0",""
"org.apache.tools.ant.taskdefs.SendEmail","0","0","0","0","0","0","0","0","8","5","41","0","5","236","0.910895844893551","0","1814.508473388868","195.0000203578206","206.8477701112584","148.0607983228512","131.0000303036242","1808.750120939872","1804.146612667607","1809.044222787271","72.73238618387272","151.6113452219193","0",""
"org.apache.tools.ant.taskdefs.Sequential","0","0","0","0","0","0","0","0","3","3","10","0","3","32","0.968967013888888","3","2017.158397350094","192.0000025079329","205.7668583615933","152.2005256232711","133.0000036204745","2012.399811170733","2008.155621459652","2012.532981096211","78.10889834071403","153.9512909981595","0",""
"org.apache.tools.ant.taskdefs.SignJar","0","0","0","0","0","0","0","0","18","8","55","0","8","474","0.595850397441131","4","1577.60483011431","191.0004275830325","199.9049774267764","140.9432509913121","128.0006380331803","1571.222454014708","1566.127708713437","1571.808194405412","62.29767250869008","147.3295625460145","0",""
"org.apache.tools.ant.taskdefs.Sleep","1","0","0","0","0","0","0","0","10","2","21","0","2","135","0.879081499780589","4","1914.551122326066","191.0000382756079","202.4104740372889","149.8165544924859","134.0000545570176","1909.707045596261","1905.177419559659","1909.777473948208","71.8679344353238","150.7116452036803","0","65"
"org.apache.tools.ant.taskdefs.SQLExec","0","1","0","1","0","0","0","0","26","15","108","1","15","1156","0.5328624437262089","5","904.1880335416964","190.0005742557019","196.7256973554802","131.3087963542428","121.0009017218322","892.2426799923886","884.0955830678038","894.0984285860254","52.63078946776307","143.377125093231","5",""
"org.apache.tools.ant.taskdefs.StreamPumper","0","0","0","0","0","0","0","0","2","1","6","1","0","39","0.948350694444444","1","2010.382301951547","194.0000068753884","207.992788336519","154.434452114805","135.0000098801877","2005.548802697157","2001.195892460306","2005.481737638117","80.05623023850174","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.Tar","1","1","0","0","0","1","0","0","8","13","65","0","13","608","0.632543247780909","3","1444.81417490278","192.0003516258883","204.0220576310317","141.0319112825179","123.0005488787133","1437.272764648381","1432.078559297639","1438.3494012235","70.61161377563892","151.6113452219193","3","31"
"org.apache.tools.ant.taskdefs.Taskdef","1","1","0","0","0","1","0","0","2","4","4","1","3","11","0.979275173611111","0","2038.348841587229","195.0000011013293","208.9258241577618","151.8189711465599","132.0000016269638","2033.289207171474","2029.154010911937","2033.420025474324","79.05694150420949","153.5610627730871","3","23"
"org.apache.tools.ant.taskdefs.TaskOutputStream","0","0","0","0","0","0","0","0","3","1","9","0","1","58","0.981932466412768","1","1991.471817525922","194.0000008413293","207.6342938919291","153.9512909981595","135.0000012090213","1986.592308451837","1982.183896615044","1986.592308451837","78.77182237323191","153.9512909981595","0",""
"org.apache.tools.ant.taskdefs.Touch","0","0","0","0","0","0","0","0","8","11","39","3","8","294","0.7946355116598049","5","1756.307490162244","190.0001109856862","202.1410398706804","142.7795503564849","125.0001686981784","1750.468794351959","1746.114543779989","1750.982581295428","71.84010022264724","148.9462990476769","0",""
"org.apache.tools.ant.taskdefs.Transform","0","0","0","0","0","0","0","0","1","1","2","0","1","4","1","0","2045.316845870097","195","209.2868844433401","154.9225613007996","135","2040.47077901155","2036.17901963457","2040.47077901155","80.65358020571685","154.9225613007996","0",""
"org.apache.tools.ant.taskdefs.Tstamp","0","0","0","0","0","0","0","0","3","6","17","1","6","91","0.980280219184027","3","1958.434323637124","192.0000010126817","205.7668583615933","149.5860956105212","130.0000014956529","1953.330745163245","1949.124162284178","1953.60103398826","77.20103626247513","153.0751449452196","0",""
"org.apache.tools.ant.taskdefs.Typedef","0","1","0","0","0","1","0","0","2","3","4","0","3","11","0.979275173611111","0","2038.348841587229","195.0000011013293","208.9258241577618","152.6892268629323","133.0000016147309","2033.354371475863","2029.154010911937","2033.486169119426","79.05694150420949","154.434452114805","3",""
"org.apache.tools.ant.taskdefs.Untar","0","0","0","0","0","0","0","0","5","9","43","0","9","276","0.905598897329845","3","1774.418214514267","192.0000232072074","205.0560898876207","145.9897256658838","127.0000350849093","1768.565803129756","1764.102321295451","1769.158274434484","74.46475676452586","153","0",""
"org.apache.tools.ant.taskdefs.UpToDate","0","0","0","0","0","0","0","0","10","14","35","1","13","216","0.710606234938058","4","1833.973009616009","191.0002192374429","202.4104740372889","139.1869246732609","122.0003432321043","1828.075490782588","1824.061676588815","1828.915525659947","68.65857557508748","149.8165544924859","0",""
"org.apache.tools.ant.taskdefs.War","0","0","0","0","0","0","0","0","9","8","33","0","8","163","0.740572676131988","4","1886.692873787358","191.0001761845689","202.743680542699","144.9413674559475","128.0002629002627","1881.359348981475","1877.106549985908","1881.848559262939","70.8801805866774","151.1588568361113","0",""
"org.apache.tools.ant.taskdefs.XSLTLiaison","0","0","0","0","0","0","0","0","3","2","3","2","0","4","1","1","2045.221748368621","194","207.6342938919291","153.0751449452196","134","2040.404861786013","2036.192525278492","2040.339432545477","79.12016177940993","152.2005256232711","0",""
"org.apache.tools.ant.taskdefs.XSLTProcess","0","0","0","0","0","0","0","0","21","13","73","1","13","737","0.226565901725203","4","1316.92444733933","191.0015659629637","199.0401969452402","135.1480669488099","123.0024316845174","1308.792573328562","1303.086336356882","1309.872131163954","57.97413216254298","145.2308507170567","0",""
"org.apache.tools.ant.taskdefs.Zip","1","1","0","0","0","1","0","0","28","21","123","3","18","1423","0.148471988372908","7","645.0062015205746","188.0019284474353","194.2807247258461","125.003999936002","115.0031525652866","627.6256846242034","617.0810319560957","630.9619639883216","50.00999900019995","140.8012784032872","3","32"
"org.apache.tools.ant.types.Commandline","1","1","0","0","0","1","0","0","19","30","46","29","3","448","0.622865930054456","55","1598.143923431178","140.0005079637453","151.5387739161169","120.8304597359457","106.0006708946067","1595.524991969728","1592.196281869795","1595.524991969728","63.15853069855251","120.8304597359457","3","59"
"org.apache.tools.ant.types.CommandlineJava","1","1","0","1","0","0","0","0","26","9","62","1","8","437","0.149075464083333","10","1613.639984631021","185.0019569425303","191.9010161515566","136.8575902169843","127.0028506474001","1608.023009785619","1603.124761208559","1608.590998358501","54.78138369920935","143.377125093231","5","40"
"org.apache.tools.ant.types.DataType","0","0","0","0","0","0","0","0","10","14","24","10","4","146","0.8410770491219079","8","1903.209131966322","187.000067530748","198.6403785739445","139.1869246732609","122.0001035102197","1897.925182930033","1894.15205303059","1898.120386066174","71.16881339463234","141.8238343861849","0",""
"org.apache.tools.ant.types.Description","1","0","0","0","0","0","0","0","2","3","8","0","3","28","0.979275173611111","0","2021.427465925997","195.0000011013293","208.9258241577618","152.6892268629323","133.0000016147309","2016.391083098713","2012.155312096956","2016.52398944322","79.05694150420949","154.434452114805","0","25"
"org.apache.tools.ant.types.EnumeratedAttribute","1","0","0","0","0","0","0","0","5","21","11","20","1","59","0.974174782081886","20","1988.714660276833","175.0000019055482","189.2326610286924","135.6797700469749","115.0000028997473","1984.335153143239","1981.18398943662","1984.335153143239","76.89603370785778","135.6797700469749","0","51"
"org.apache.tools.ant.types.Environment","0","0","0","0","0","0","0","0","3","6","9","4","2","47","0.948672824435764","4","2002.131364321532","191.0000068965416","204.8340791958213","149.5860956105212","130.000010132611","1997.235339162614","1993.169586362385","1997.300678415746","78.43468620451031","150.4559736268388","0",""
"org.apache.tools.ant.types.FileList","1","0","0","0","0","0","0","0","8","5","29","1","4","177","0.774381719170994","1","1873.073677141399","194.0001311948233","205.905318046912","148.0607983228512","131.0001942884385","1867.600064253586","1863.154582958698","1867.812892128117","73.05477397131553","150.7215976560758","0","99"
"org.apache.tools.ant.types.FileSet","1","0","0","0","0","0","0","0","18","31","62","23","8","396","0.13838081587113","15","1653.824658178732","180.0020621760164","189.4228074968798","120.4408568551387","105.0035351196257","1647.34968965305","1644.121650000388","1647.810668735944","62.29767250869008","126.5898890117216","0","164"
"org.apache.tools.ant.types.FilterSet","1","0","0","0","0","0","0","0","18","10","59","6","5","466","0.4206691570885","5","1585.426125683565","190.0008832195933","198.9497423974206","139.1294361377203","126.0013318351261","1579.035148437172","1574.168034232686","1579.277366392617","63.32456079595025","141.8520355863813","0","63"
"org.apache.tools.ant.types.FilterSetCollection","0","0","0","0","0","0","0","0","5","5","13","4","1","69","0.91923267385106","2","1980.42672169409","193.0000168998982","205.9927183179056","149.4824404403407","131.000024898322","1975.348576833972","1971.18492283195","1975.348576833972","76.89603370785778","149.4824404403407","0",""
"org.apache.tools.ant.types.Mapper","1","0","0","0","0","0","0","0","11","11","38","3","8","287","0.686510380602822","6","1763.159096621743","189.0002599885552","200.1924074484345","141.3541651314173","125.0003931023478","1757.450995049364","1753.114086418793","1757.962741357165","68.96375859826666","147.5804865149861","0","110"
"org.apache.tools.ant.types.Path","1","1","0","0","0","1","0","0","26","33","80","26","8","719","0.609867743660083","82","1325.8242719154","113.00067346338","123.9758040909596","114.9347641055569","103.0007388477259","1325.00943392868","1321.151391779156","1325.489343601072","54.78138369920935","120.3411816461846","3","224"
"org.apache.tools.ant.types.PatternSet","1","0","0","0","0","0","0","0","20","10","60","5","6","557","0.31370534998479","3","1495.377209937345","192.0012265594849","200.2823007656942","138.2931668593933","126.0018690351323","1488.343038415539","1483.163173760729","1488.687005384275","61.09828148156051","141.9471732723128","0","141"
"org.apache.tools.ant.types.Reference","0","1","0","0","0","1","0","0","5","19","12","17","2","55","0.929348303716333","8","1993.788855420754","187.0000133466899","200.3821349322339","137.3790377022637","117.0000213318878","1988.445121193944","1985.170269775366","1988.504211712915","76.55063683601855","138.2316895650198","3",""
"org.apache.tools.ant.types.ZipFileSet","0","1","0","1","0","0","0","0","9","11","20","4","7","108","0.29375306460901","14","1940.459997011018","181.0013778531361","193.3520105920805","142.2989810223531","125.0019951230129","1936.039514059566","1932.114127063927","1936.436159546707","71.16881339463234","147.5974254518011","5",""
"org.apache.tools.ant.types.ZipScanner","0","0","0","0","0","0","0","0","6","3","11","2","1","68","0.881033177763499","20","1979.74973165802","175.0000404374376","188.8544413033488","150.7647173578752","133.0000532071502","1976.479951833562","1972.184829066485","1976.479951833562","75.96051605933177","150.7647173578752","0",""
"org.apache.tools.ant.UnknownElement","0","3","0","0","0","3","0","0","8","12","38","3","10","243","0.273042879494612","23","1805.212729846541","172.0015362334158","185.324040534411","141.9048977308395","124.0021308956223","1801.273160850403","1797.090147989243","1801.841557962298","71.30918594402827","148.9462990476769","9",""
"org.apache.tools.ant.util.DOMElementWriter","1","0","0","0","0","0","0","0","5","1","36","1","0","375","0.701517740885416","4","1675.919449138293","191.0002332240958","204.1200627082012","153","135.0003299687042","1670.464007394353","1665.23541879219","1670.383488903072","77.25283166331187","152.1183749584513","0","35"
"org.apache.tools.ant.util.FileNameMapper","0","0","0","0","0","0","0","0","3","17","3","17","0","3","1","2","2046.122674719187","193","206.7002660859439","140.1320805525987","119","2040.472984383768","2037.192430773293","2040.414908786936","79.12016177940993","139.2838827718412","0",""
"org.apache.tools.ant.util.FileUtils","1","1","0","0","0","1","0","0","16","7","78","5","3","745","0.772463642417654","7","1308.575179345841","188.0001376935507","197.6486782146544","142.6954799564443","129.0002006695882","1301.409236174386","1295.241290262166","1301.508739886137","65.92419889539804","143.6001392756985","3","137"
"org.apache.tools.ant.util.FlatFileNameMapper","0","0","0","0","0","0","0","0","4","2","7","1","1","20","0.969074390552662","0","2029.390302529309","195.0000024522905","208.2162337571209","152.5942331806808","134.0000035686317","2024.439675564575","2020.180437485721","2024.439675564575","77.83315488916018","152.5942331806808","0",""
"org.apache.tools.ant.util.GlobPatternMapper","1","1","0","0","0","1","0","0","5","2","15","1","1","137","0.93889707400475","2","1912.761877495471","193.0000096724546","205.9927183179056","152.1183749584513","134.0000139312215","1907.711980357622","1903.191530035798","1907.711980357622","76.89603370785778","152.1183749584513","3","59"
"org.apache.tools.ant.util.IdentityMapper","0","0","0","0","0","0","0","0","4","2","5","1","1","16","0.969074390552662","0","2033.371830236664","195.0000024522905","208.2162337571209","152.5942331806808","134.0000035686317","2028.430920687219","2024.180080921656","2028.430920687219","77.83315488916018","152.5942331806808","0",""
"org.apache.tools.ant.util.MergingMapper","0","0","0","0","0","0","0","0","4","4","5","3","1","24","0.969074390552662","3","2025.122218533983","192.0000024906076","205.4093474017188","150.8409758653132","132.0000036227019","2020.316806839957","2016.180795464534","2020.316806839957","77.83315488916018","150.8409758653132","0",""
"org.apache.tools.ant.util.regexp.JakartaOroMatcher","1","0","0","0","0","0","0","0","5","7","17","0","7","75","0.959964081828977","1","1974.55336722004","194.0000041311204","206.929939834718","147.7328670269416","129.0000062126927","1969.229798677645","1965.112210536589","1969.631945313642","75","153","0","8"
"org.apache.tools.ant.util.regexp.JakartaRegexpMatcher","1","0","0","0","0","0","0","0","5","4","13","0","4","65","0.959964081828977","1","1984.505228010246","194.0000041311204","206.929939834718","150.3595690337","132.0000060714951","1979.40622409853","1975.145817401844","1979.608547162797","75.8946638440411","153","0","8"
"org.apache.tools.ant.util.regexp.RegexpMatcher","1","0","0","0","0","0","0","0","4","5","4","4","1","4","1","2","2045.127135412368","193","206.344372348751","149.9666629621397","131","2040.210038206851","2036.17901963457","2040.210038206851","77.83315488916018","149.9666629621397","0","53"
"org.apache.tools.ant.util.regexp.RegexpMatcherFactory","0","1","0","0","0","1","0","0","3","3","9","1","2","48","0.965509137512173","4","2001.135927417226","191.0000031141874","204.8340791958213","152.2005256232711","133.000004472254","1996.435072823557","1992.169671488852","1996.501940895625","78.43468620451031","153.0751449452196","3",""
"org.apache.tools.ant.util.RegexpPatternMapper","0","1","0","0","0","1","0","0","5","4","20","0","4","144","0.955451750663088","1","1905.899262815325","194.0000051148106","206.929939834718","150.3595690337","132.0000075172214","1900.589382270668","1896.151892649953","1900.800094696967","75.8946638440411","153","3",""
"org.apache.tools.ant.util.SourceFileScanner","0","1","0","1","0","0","0","0","3","9","25","7","2","277","0.722000687210648","9","1772.784532874765","186.000207751545","200.1799190728181","146.9863939281456","127.0003042658478","1767.568386230077","1763.191708238217","1767.640517752408","78.43468620451031","147.8512766262098","5",""
"org.apache.tools.ant.XmlLogger","0","0","0","0","0","0","0","0","11","11","61","0","11","517","0.680974767957764","1","1535.306158393172","194.0002623119327","204.9194963882158","141.3541651314173","125.0004071077318","1528.1210685021","1523.094875574073","1528.971549768013","68.15423684555495","150.2697574364183","0",""
"org.apache.tools.mail.MailMessage","0","0","0","0","0","0","0","0","27","3","63","1","2","527","0.0457079497623654","2","1525.259977839843","193.0023592428786","199.3715125086831","142.0880009008502","133.0034235398365","1518.834421521977","1513.223380733988","1518.922315327548","56.35601121442149","143.024473430249","0",""
"org.apache.tools.mail.MailPrintStream","0","0","0","0","0","0","0","0","5","1","9","1","0","81","0.921858170399358","2","1968.484188404875","193.0000158190292","205.9927183179056","153","135.0000226153519","1963.646098460718","1959.200091874232","1963.577602235267","77.25283166331187","152.1183749584513","0",""
"org.apache.tools.mail.SmtpResponseReader","0","0","0","0","0","0","0","0","5","1","18","1","0","96","0.928696290946301","1","1953.656059801725","194.0000131036566","206.929939834718","153","135.0000188304391","1948.681862182742","1944.201635633506","1948.61283994538","77.25283166331187","152.1183749584513","0",""
"org.apache.tools.tar.TarBuffer","0","0","0","0","0","0","0","0","21","2","35","2","0","617","0.723217958558963","3","1435.89449473142","192.0001995006736","200","145.2308507170567","134.000285851555","1429.295280898947","1423.275447690994","1429.201875173693","62.60990336999411","144.3086968966181","0",""
"org.apache.tools.tar.TarConstants","0","0","0","0","0","0","0","0","0","1","0","1","0","24","1","0","2025.40884761571","195","209.6520927632252","155.4155719353759","135","2020.515033351645","2016.194435068205","2020.44846506908","81.93289937503738","154.5477272560163","0",""
"org.apache.tools.tar.TarEntry","0","0","0","0","0","0","0","0","31","6","65","4","2","747","0.0742635193234161","4","1307.030986625795","191.0022434109915","196.4611920965563","137.8985134075056","130.0032960660293","1299.518757078943","1293.26138116005","1299.619174989351","52.83937925449163","138.8416364063749","0",""
"org.apache.tools.tar.TarInputStream","0","0","0","0","0","0","0","0","16","3","40","1","2","604","0.288141892187046","2","1448.911660523167","193.001312798555","202.4104740372889","146.3215636876534","133.0019050313403","1442.14597042047","1436.23535675738","1442.238537829301","66.30987860040162","147.2311108427835","0",""
"org.apache.tools.tar.TarOutputStream","0","0","0","0","0","0","0","0","15","3","37","1","2","437","0.355481674262509","2","1614.576724717658","193.0010761728344","202.7140843651472","146.7412689055127","133.0015616595242","1608.508004331965","1603.210840781711","1608.590998358501","67.23094525588644","147.648230602334","0",""
"org.apache.tools.tar.TarUtils","0","0","0","0","0","0","0","0","8","1","14","1","0","274","0.717817731134258","2","1776.514846546462","193.0002062870215","204.9634113689563","151.6113452219193","135.0002949138737","1771.152449677893","1766.221956606813","1771.076508793451","74.46475676452586","150.7215976560758","0",""
"org.apache.tools.zip.AsiExtraField","1","0","0","0","0","0","0","0","20","4","42","0","4","376","0.495843535128121","1","1675.270724390539","194.0006550858555","202.2003956474863","143.7810835958611","132.0009627758111","1669.227366178736","1664.173067922925","1669.467280302312","61.84658438426491","146.5400969018378","0","95"
"org.apache.tools.zip.ExtraFieldUtils","1","0","0","0","0","0","0","0","8","4","39","1","3","377","0.83437959353129","1","1674.2774560986","194.0000706961702","205.905318046912","148.9462990476769","132.0001039019252","1668.230499661243","1663.187902793909","1668.389942429527","73.38937252763509","150.7215976560758","0","71"
"org.apache.tools.zip.UnixStat","0","0","0","0","0","0","0","0","0","1","0","1","0","7","1","0","2042.330531525198","195","209.6520927632252","155.4155719353759","135","2037.477361837427","2033.192809351833","2037.411347764609","81.93289937503738","154.5477272560163","0",""
"org.apache.tools.zip.UnrecognizedExtraField","0","0","0","0","0","0","0","0","10","3","13","1","2","76","0.905322864286548","2","1973.460159212747","193.0000232221748","204.2988007796424","148.9227987918572","133.0000336983417","1968.498158495456","1964.172090220203","1968.565975526348","71.8679344353238","149.8165544924859","0",""
"org.apache.tools.zip.ZipEntry","1","0","0","0","0","0","0","0","23","5","68","2","3","462","0.463657763880868","3","1589.637694570684","192.0007491209194","199.449241663136","141.6933308240017","131.0010979457586","1583.428242769466","1578.198023063012","1583.594960840682","59.50630218724736","143.5444182126216","0","48"
"org.apache.tools.zip.ZipExtraField","0","0","0","0","0","0","0","0","6","5","6","4","1","6","1","2","2043.136069869063","193","205.6453257431347","149.0033556669111","131","2038.214169315874","2034.179195646244","2038.214169315874","75.96051605933177","149.0033556669111","0",""
"org.apache.tools.zip.ZipLong","1","0","0","0","0","0","0","0","7","2","8","2","0","147","0.929322828858086","3","1902.712011839942","192.0000130084957","204.3624231604235","151.1820095117141","134.000018639038","1897.736809992366","1893.207067385921","1897.666461736625","75.39230729988306","150.2963738750872","0","34"
"org.apache.tools.zip.ZipOutputStream","0","0","0","0","0","0","0","0","17","7","81","4","3","1159","0.175603912520324","2","901.892454786046","193.0017606886244","202.1113554454573","142.2708684165525","129.0026341936825","890.394294680733","881.3546391776695","890.6862522796678","65","144.0867794074113","0",""
"org.apache.tools.zip.ZipShort","1","0","0","0","0","0","0","0","7","6","8","6","0","89","0.929322828858086","4","1960.327013536262","191.000013076603","203.423204182807","147.648230602334","130.0000192125467","1955.326315477803","1951.200912258909","1955.260085001481","75.39230729988306","146.7685252361691","0","32"
