@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,32-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute Si numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Hbugs_binarized {0,1}

@data
-0.746479,-0.76699,-0.612903,-1,0.142857,-0.658003,-0.266273,-0.998404,-0.956522,0.651677,0.956467,0.876167,0.760409,0.765317,0.65825,0.655749,0.65877,0.665179,0.917655,-0.772512,0.70593,0.621917,0.658447,-0.656181,0.658098,-0.658505,-0.374496,0.374496,0.528219,1
-0.802817,-0.786408,-0.655914,-1,0.047619,-0.827633,0.508035,-0.993582,-0.971014,0.824385,0.970962,0.908818,0.79171,0.784844,0.827544,0.826465,0.828,0.727692,0.935282,-0.93062,0.737744,0.809504,0.826831,-0.825436,0.827608,-0.826575,-0.670121,0.670121,0.626172,1
-0.915493,-0.980583,-0.967742,-0.979798,-1,-0.997264,1,-1,-0.985507,0.997156,0.985471,0.9581,0.959853,0.980439,0.997227,0.997247,0.997229,0.915588,0.958194,-0.990577,0.97041,0.996975,0.99702,-0.996048,0.99718,-0.996015,-0.994531,0.994531,0.839296,1
-0.408451,-0.825243,-0.494624,-0.979798,-0.238095,-0.747378,-0.500469,-0.931046,-0.898551,0.742372,0.898429,0.720585,0.702169,0.824011,0.747553,0.745715,0.747882,0.342211,0.806127,-0.865287,0.614321,0.72096,0.746207,-0.744188,0.747058,-0.745531,-0.526664,0.526664,0.009757,1
-0.859155,-0.76699,-0.88172,-0.777778,-0.904762,-0.946192,0.945876,-0.980847,-0.855072,0.944632,0.854866,0.791414,0.797193,0.765278,0.945816,0.945843,0.945865,0.850772,0.805828,-0.988809,0.859274,0.940525,0.945415,-0.944419,0.946103,-0.944689,-0.893832,0.893832,0.73369,1
-0.830986,-0.805825,-0.645161,-0.939394,-0.238095,-0.819425,-0.29413,-0.991421,-0.956522,0.815966,0.956468,0.89999,0.813968,0.804438,0.819396,0.81822,0.819677,0.772098,0.903266,-0.924158,0.714464,0.80046,0.818493,-0.816989,0.819438,-0.818204,-0.655154,0.655154,0.675148,1
-0.859155,-0.980583,-0.623656,-0.979798,-1,-0.677155,0.408242,-0.929773,-0.956522,0.671165,0.956452,0.908135,0.942299,0.980447,0.677883,0.675113,0.677826,0.859491,0.939664,-0.791255,0.708674,0.643096,0.677446,-0.675408,0.677355,-0.677628,-0.406432,0.406432,0.724507,1
-0.859155,-0.941748,-0.83871,-0.959596,-0.904762,-0.875057,0.871941,-0.952916,-0.956522,0.872602,0.956448,0.908135,0.915533,0.941319,0.875206,0.874257,0.875233,0.850772,0.926069,-0.954912,0.86607,0.861825,0.874975,-0.874179,0.87504,-0.874956,-0.757923,0.757923,0.73216,1
-0.859155,-0.92233,-0.784946,-1,-0.619048,-0.868673,0.906637,-0.998404,-0.985507,0.866226,0.985471,0.941706,0.90221,0.921759,0.868793,0.867808,0.86895,0.826977,0.953302,-0.954345,0.834591,0.854789,0.868364,-0.867462,0.868663,-0.868312,-0.745971,0.745971,0.730247,1
-1,-0.980583,-1,-0.979798,-1,-0.978112,1,-1,-1,0.977712,0.999982,1,0.986858,0.980439,0.978118,0.977974,0.978116,1,0.986683,-0.986106,0.995558,0.975786,0.978272,-0.978072,0.978135,-0.978231,-0.956466,0.956466,1,1
-0.605634,-0.84466,-0.655914,-0.919192,-0.619048,-0.765618,0.530942,-0.94733,-0.942029,0.76113,0.941939,0.821369,0.771193,0.843523,0.765796,0.764099,0.765944,0.572036,0.818766,-0.875329,0.71751,0.740935,0.765184,-0.763625,0.765458,-0.764976,-0.558707,0.558707,0.302085,1
-0.605634,-0.533981,-0.322581,-0.59596,0.904762,-0.250342,0.483003,-0.651604,-0.942029,0.237156,0.941939,0.821369,0.557421,0.530564,0.251037,0.245468,0.251142,0.499364,0.599252,-0.349458,0.387572,0.172189,0.251665,-0.246662,0.250767,-0.251904,0.218301,-0.218302,0.290224,1
-0.746479,-0.84466,-0.731183,-0.89899,-0.714286,-0.896033,0.811511,-0.969628,-0.927536,0.893839,0.927425,0.842301,0.813616,0.843519,0.895921,0.895349,0.896039,0.721328,0.848602,-0.976419,0.769597,0.885125,0.894915,-0.893501,0.895882,-0.894045,-0.797468,0.797468,0.532428,1
-0.71831,-0.825243,-0.247312,-0.979798,-0.238095,-0.598723,0.385685,-0.953495,-0.942029,0.591294,0.94194,0.85144,0.791496,0.823967,0.599257,0.596116,0.59959,0.65695,0.895036,-0.721974,0.441394,0.557066,0.597354,-0.594411,0.598853,-0.597136,-0.277957,0.277957,0.468146,1
-0.521127,-0.76699,-0.311828,-0.979798,0.047619,-0.414501,0.210376,-0.979164,-0.942029,0.403947,0.941944,0.799951,0.691701,0.765293,0.415373,0.410703,0.415879,0.437911,0.836902,-0.526006,0.485354,0.353221,0.415165,-0.411351,0.414617,-0.415224,-0.000418,0.000418,0.162426,1
-0.464789,-0.650485,-0.397849,-0.89899,0.238095,-0.629731,-0.140223,-0.982377,-0.884058,0.622567,0.883906,0.71679,0.593036,0.647951,0.629777,0.627293,0.630324,0.370118,0.763546,-0.750136,0.522733,0.591087,0.628784,-0.626191,0.629567,-0.628452,-0.328014,0.328014,0.08437,1
-0.915493,-0.941748,-0.849462,-1,-0.714286,-0.923393,0.919706,-0.998404,-0.971014,0.921876,0.970959,0.941399,0.93333,0.941319,0.923433,0.922882,0.923552,0.891285,0.971704,-0.982316,0.88373,0.915286,0.923034,-0.922429,0.923384,-0.92293,-0.84972,0.84972,0.835087,1
-0.887324,-0.883495,-0.655914,-1,-0.428571,-0.703602,0.755697,-0.990424,-0.985507,0.698213,0.985472,0.949853,0.884729,0.88264,0.704019,0.701675,0.704257,0.841802,0.962456,-0.816208,0.737744,0.672303,0.703918,-0.701989,0.703805,-0.704098,-0.451138,0.451138,0.776545,1
-0.239437,-0.786408,-0.107527,-0.959596,-0.142857,-0.399909,0.125259,-0.929773,-0.942029,0.389114,0.941945,0.735909,0.630382,0.784856,0.400877,0.396032,0.401274,0.164218,0.748582,-0.513591,0.342961,0.337697,0.399398,-0.395519,0.39975,-0.399207,0.020123,-0.020123,-0.21982,1
-0.774648,-0.76699,-0.301075,-1,0.142857,-0.468308,0.311205,-0.984039,-0.971014,0.458806,0.970965,0.900924,0.76946,0.765289,0.469032,0.464848,0.469585,0.694273,0.926419,-0.583394,0.483958,0.412718,0.468452,-0.465022,0.468662,-0.4688,-0.077973,0.077973,0.564951,1
-0.323944,-0.475728,-0.139785,-0.59596,-0.238095,-0.367989,0.174148,-0.561311,-0.42029,0.35409,0.419528,0.132301,0.428599,0.471896,0.368236,0.363917,0.368491,0.257037,0.50908,-0.47796,0.254835,0.302881,0.366996,-0.362821,0.367944,-0.366819,0.064295,-0.064295,-0.114215,1
-0.521127,-0.805825,-0.408602,-0.89899,-0.428571,-0.579571,-0.031483,-0.122886,-0.956522,0.571883,0.956461,0.817265,0.719276,0.804424,0.580105,0.576857,0.580287,0.471024,0.779671,-0.697836,0.530435,0.535595,0.579129,-0.576404,0.579511,-0.579037,-0.247529,0.247529,0.16587,1
-0.126761,-0.883495,-0.301075,-0.919192,-0.809524,-0.318741,-0.940152,-0.914639,-0.942029,0.306631,0.941982,0.71359,0.677439,0.882725,0.32025,0.314418,0.32024,0.125305,0.692187,-0.423897,0.460211,0.247456,0.320104,-0.315626,0.318555,-0.319716,0.130444,-0.130444,-0.341496,1
-0.549296,-0.941748,-0.569892,-0.979798,-0.809524,-0.449156,-0.491908,-0.922264,-0.971014,0.439336,0.970986,0.841538,0.824575,0.941369,0.450424,0.445655,0.450433,0.534066,0.844881,-0.557675,0.669064,0.390991,0.451319,-0.44731,0.449265,-0.450875,-0.050047,0.050047,0.213315,1
0.183099,-0.631068,-0.204301,-0.858586,0.238095,-0.498404,-0.183032,-0.926971,-0.927536,0.489179,0.927442,0.644223,0.420705,0.628394,0.498709,0.49513,0.499224,-0.292092,0.583587,-0.616711,0.375769,0.446415,0.497328,-0.493895,0.497853,-0.496603,-0.122611,0.12261,-0.635355,1
1,1,1,1,-0.333333,1,-0.574405,-0.370833,0.304348,-1,-0.305981,-1,-1,-1,-1,-1,-1,-0.764846,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,1
-0.71831,-0.669903,-0.129032,-0.919192,0.238095,-0.322389,-0.361942,-0.960098,-0.927536,0.310252,0.927447,0.83447,0.685647,0.667525,0.323255,0.317995,0.323876,0.632038,0.853407,-0.430176,0.344034,0.252024,0.322589,-0.318232,0.322866,-0.323056,0.125633,-0.125633,0.463937,1
-0.408451,-0.514563,-0.172043,-0.79798,0.52381,-0.483812,0.221616,-0.819189,-0.73913,0.473402,0.738781,0.529945,0.481214,0.511013,0.483881,0.480434,0.484519,0.300677,0.675863,-0.601624,0.335696,0.430462,0.482524,-0.478909,0.483735,-0.482191,-0.100852,0.100852,-0.001722,1
-0.774648,-0.864078,-0.634409,-1,-0.333333,-0.429093,-0.235645,-0.993616,-0.971014,0.41894,0.970978,0.900924,0.835747,0.863114,0.430195,0.425416,0.430485,0.720645,0.926419,-0.535227,0.721806,0.368685,0.432041,-0.427457,0.429498,-0.431488,-0.021177,0.021176,0.576813,1
-0.774648,-0.883495,-0.505376,-1,-0.428571,-0.640675,0.643398,-0.993616,-0.956522,0.634046,0.956449,0.884006,0.849134,0.882641,0.641249,0.638348,0.641485,0.727238,0.926419,-0.758451,0.62755,0.602912,0.640555,-0.638247,0.640821,-0.640697,-0.345913,0.345913,0.572221,1
-0.464789,-0.84466,-0.258065,-0.959596,-0.238095,-0.423621,0.058079,-0.968015,-0.956522,0.413297,0.956458,0.803629,0.731424,0.843539,0.424684,0.419902,0.424915,0.399177,0.806798,-0.536562,0.442582,0.363469,0.423795,-0.420108,0.423664,-0.423834,-0.013357,0.013357,0.079395,1
-0.774648,-0.864078,-0.655914,-0.939394,-0.619048,-0.726402,0.63371,-0.993618,-0.942029,0.721216,0.941937,0.867109,0.835747,0.863082,0.726717,0.724635,0.726862,0.741708,0.885054,-0.838217,0.722512,0.697548,0.726367,-0.724615,0.726453,-0.726417,-0.490239,0.490239,0.577578,1
-0.887324,-0.84466,-0.548387,-1,-0.238095,-0.779298,0.76214,-0.996808,-0.971014,0.775183,0.97096,0.933104,0.858509,0.84352,0.779444,0.777837,0.779774,0.829778,0.962456,-0.893295,0.658694,0.756173,0.778232,-0.776442,0.779414,-0.778014,-0.582949,0.582949,0.772719,1
-0.464789,-0.553398,-0.505376,-0.555556,-0.714286,-0.591427,0.209605,1,-0.492754,0.581917,0.492085,0.257203,0.525418,0.550134,0.591345,0.588814,0.591355,0.441119,0.525333,-0.70681,0.516597,0.548748,0.590759,-0.588087,0.5913,-0.590556,-0.26633,0.26633,0.088196,1
-0.71831,-0.825243,-0.473118,-1,-0.142857,-0.651619,0.43891,-0.993616,-1,0.645391,0.999986,0.919535,0.791496,0.823966,0.652021,0.649341,0.652402,0.651049,0.908993,-0.770612,0.604384,0.615072,0.651193,-0.648898,0.65169,-0.651229,-0.363927,0.363927,0.476181,1
-0.352113,-0.572816,-0.451613,-0.59596,-0.809524,0.283174,-0.638779,-0.612155,-0.652174,-0.305624,0.651742,0.412273,0.505262,0.56975,-0.280171,-0.29124,-0.280295,0.341072,0.517539,0.224932,0.484686,-0.417678,-0.272468,0.286202,-0.282214,0.277293,0.743034,-0.743034,-0.066769,1
-0.774648,-0.883495,-0.408602,-1,-0.428571,-0.413589,0.956565,-0.987198,-0.971014,0.403181,0.970959,0.900924,0.849134,0.882639,0.414794,0.409823,0.415028,0.727238,0.926419,-0.523377,0.55858,0.35196,0.414982,-0.411028,0.414015,-0.415174,0.000868,-0.000868,0.568778,1
-0.690141,-0.84466,-0.817204,-0.878788,-0.809524,-0.915185,0.73266,-0.962296,-0.898551,0.913224,0.898402,0.792774,0.79634,0.84352,0.915032,0.91463,0.915111,0.673605,0.816913,-0.980726,0.830978,0.906245,0.914431,-0.913483,0.914963,-0.913824,-0.833966,0.833966,0.442127,1
-0.521127,-0.825243,-0.311828,-0.858586,-0.809524,-0.349749,0.518665,-0.948129,-0.84058,0.337565,0.840357,0.679275,0.73312,0.823964,0.35098,0.345621,0.350979,0.506311,0.751277,-0.456656,0.450367,0.281774,0.350704,-0.346514,0.34994,-0.350787,0.089073,-0.089073,0.162426,1
-0.690141,-0.728155,-0.548387,-0.959596,0.142857,-0.639763,0.53649,-0.991226,-0.942029,0.633049,0.941938,0.843763,0.716002,0.726163,0.639963,0.637393,0.640477,0.60702,0.872431,-0.756079,0.648014,0.601858,0.639839,-0.63749,0.639816,-0.639891,-0.344419,0.344419,0.432562,1
-0.830986,-0.883495,-0.645161,-0.979798,-0.52381,-0.850433,0.473371,-0.996808,-0.956522,0.847533,0.956451,0.89999,0.866743,0.882645,0.850507,0.849445,0.850705,0.791293,0.930542,-0.949854,0.724629,0.834744,0.849321,-0.847818,0.850413,-0.848789,-0.712049,0.712049,0.675148,1
-0.859155,-0.84466,-0.516129,-1,-0.238095,-0.76197,0.274972,-0.996808,-0.956522,0.757482,0.956454,0.908135,0.849341,0.843531,0.762156,0.760399,0.762487,0.80093,0.953302,-0.878435,0.635309,0.737054,0.760853,-0.758943,0.762074,-0.760612,-0.552268,0.552268,0.720681,1
0.830986,-0.592233,0.666667,-0.878788,1,0.371637,-0.636034,-0.984039,-0.956522,-0.391346,0.95648,0.62572,0.314456,0.589309,-0.367899,-0.380478,-0.366584,-1,0.52992,0.312543,-0.069503,-0.5082,-0.368218,0.37792,-0.371942,0.369481,0.802575,-0.802575,-0.974364,1
-0.380282,-0.68932,-0.225806,-0.979798,0.52381,-0.384405,-0.595807,-0.982443,-0.956522,0.373438,0.956479,0.784019,0.596322,0.687102,0.38515,0.380394,0.385875,0.271432,0.798725,-0.495339,0.426946,0.320182,0.3848,-0.380809,0.384401,-0.384776,0.041701,-0.041701,-0.037689,1
-0.352113,-0.805825,0.032258,-0.979798,-0.047619,-0.057,0.126037,-0.952965,-0.942029,0.040991,0.941945,0.760138,0.673167,0.804416,0.059229,0.05094,0.059692,0.271133,0.791444,-0.146758,0.262958,-0.040614,0.059065,-0.052686,0.057352,-0.059027,0.44136,-0.44136,-0.083987,1
-0.633803,-0.864078,-0.408602,-0.979798,-0.333333,-0.461924,-0.343855,-0.980847,-0.956522,0.452238,0.95647,0.845859,0.793136,0.86312,0.462931,0.458456,0.463164,0.577464,0.869478,-0.574497,0.552876,0.405428,0.462782,-0.459255,0.462115,-0.462875,-0.068625,0.068624,0.337287,1
-0.521127,-0.631068,-0.215054,-0.737374,-0.333333,-0.54218,-0.068773,-0.964887,-0.884058,0.533486,0.883904,0.730877,0.596482,0.628387,0.542381,0.53922,0.542602,0.463401,0.667075,-0.662559,0.347883,0.494924,0.540513,-0.537085,0.542158,-0.540011,-0.18916,0.18916,0.158982,1
-0.380282,-0.708738,0.11828,-0.959596,0.238095,0.076151,-0.313841,-0.859889,-0.927536,-0.093959,0.927446,0.748973,0.610271,0.706641,-0.073693,-0.083079,-0.07287,0.283023,0.784057,-0.003873,0.205621,-0.187058,-0.073186,0.080759,-0.075556,0.07332,0.573234,-0.573234,-0.049933,1
